trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
214,False,"{'a': 0.5, 'e': 0.11756998134242766}",20,12,17.630764973199337,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11639428152900338}",20,16,6.057397367751416,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.11523033871371334}",25,14,21.65048164580935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.1140780353265762}",25,17,16.843526732254997,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11293725497331045}",25,14,20.44897269773592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11180788242357734}",25,9,-17.301064091804587,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.11068980359934157}",30,11,23.965771016841458,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.10958290556334815}",25,0,8.991706218904785,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.10848707650771466}",35,21,25.735144479089335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.10740220574263752}",30,4,-10.888448619475295,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
224,False,"{'a': 0.5, 'e': 0.10632818368521114}",25,16,14.716453197445766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.10526490184835903}",30,19,10.835587644355563,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 0.10421225282987544}",25,9,14.720199201932134,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.10317013030157669}",20,0,7.236148688542787,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
228,False,"{'a': 0.5, 'e': 0.10213842899856092}",30,21,16.21224408416029,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.10111704470857531}",25,17,14.440696477864682,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.10010587426148955}",25,17,5.600317146160849,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09910481551887466}",20,10,13.220279179010133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.0981137673636859}",20,3,28.4731790206199,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.09713262969004904}",20,9,20.919637954102576,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09616130339314856}",20,5,24.768084410632717,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.09519969035921708}",20,7,13.743699947746684,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.0942476934556249}",20,7,26.57467881035296,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09330521652106866}",20,0,-25.64564733783432,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
238,False,"{'a': 0.5, 'e': 0.09237216435585796}",25,11,16.34988075920417,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09144844271229938}",20,0,-11.639929718731244,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.0905339582851764}",35,21,27.63691383143026,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08962861870232462}",20,12,9.414832007290634,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
